                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1068,                 1.7787,                0.87906,                 1.1351,                 0.7475,                0.67289,                0.74287,                0.49419,                0.75103,                0.67091,                0.73942,                0.43549,                 1.0832,                 1.7882,                0.87506,                 1.1559,             0.00059775,             0.00059775,             0.00059775
                     25,                 1.0932,                 1.7555,                0.86482,                 1.1312,                 0.7579,                0.67415,                0.74915,                0.49999,                0.75977,                0.67293,                0.74564,                0.44269,                 1.0821,                 1.7854,                0.85272,                 1.1629,             0.00056704,             0.00056704,             0.00056704
                     26,                 1.0875,                 1.7466,                0.85806,                 1.1241,                0.74494,                0.67817,                0.74753,                0.49941,                0.74744,                 0.6735,                0.74355,                0.44269,                 1.0795,                 1.7723,                0.85629,                 1.1585,             0.00053608,             0.00053608,             0.00053608
                     27,                 1.0799,                 1.7352,                0.85312,                  1.126,                0.75633,                0.67412,                0.75034,                 0.5009,                0.75634,                0.67308,                 0.7458,                0.44283,                 1.0772,                 1.7731,                0.85203,                 1.1597,               0.000505,               0.000505,               0.000505
                     28,                  1.074,                 1.7203,                0.84268,                 1.1168,                0.75785,                0.67148,                0.74887,                 0.5025,                0.75913,                0.67048,                0.74614,                0.44628,                 1.0747,                 1.7731,                0.85111,                 1.1555,             0.00047392,             0.00047392,             0.00047392
                     29,                 1.0673,                 1.7154,                0.83512,                 1.1136,                0.75993,                0.67377,                0.75165,                0.50512,                0.75984,                0.67063,                0.74706,                0.44767,                 1.0627,                 1.7572,                0.85206,                  1.149,             0.00044296,             0.00044296,             0.00044296
                     30,                 1.0619,                 1.6971,                0.82352,                  1.108,                0.76051,                0.67611,                0.75386,                0.50771,                 0.7609,                0.67552,                0.75085,                0.45009,                 1.0675,                 1.7529,                0.83489,                 1.1496,             0.00041225,             0.00041225,             0.00041225
                     31,                 1.0538,                 1.6851,                0.81233,                 1.1064,                0.75497,                0.68009,                0.75569,                0.50998,                0.75607,                0.67626,                 0.7507,                0.45132,                 1.0576,                 1.7454,                0.82981,                 1.1395,              0.0003819,              0.0003819,              0.0003819
                     32,                 1.0453,                  1.676,                0.80768,                 1.0995,                0.76788,                0.67377,                 0.7564,                0.51127,                 0.7667,                0.67274,                 0.7529,                0.45255,                 1.0557,                 1.7385,                0.82631,                 1.1487,             0.00035204,             0.00035204,             0.00035204
                     33,                 1.0394,                  1.654,                0.80347,                 1.1003,                0.76345,                 0.6833,                0.75764,                0.51334,                0.76916,                0.67833,                0.75381,                0.45486,                 1.0508,                 1.7365,                0.82072,                 1.1402,             0.00032278,             0.00032278,             0.00032278
                     34,                 1.0362,                 1.6479,                0.80013,                 1.0959,                0.76705,                0.68045,                0.76068,                0.51628,                0.76735,                0.67856,                0.75715,                0.45657,                 1.0443,                 1.7309,                0.81534,                 1.1395,             0.00029424,             0.00029424,             0.00029424
                     35,                 1.0234,                 1.6307,                0.78477,                 1.0919,                0.76421,                0.68403,                 0.7604,                0.51614,                0.76364,                0.67997,                0.75592,                0.45555,                 1.0455,                 1.7262,                0.81568,                 1.1396,             0.00026653,             0.00026653,             0.00026653
